"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Criminal Code traffic violations [900]","Rate per 100,000 population","Rate","257","units","0","v71177769","23.148.2","159.38","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Criminal Code traffic violations [900]","Percentage change in rate","Percent","239","units","0","v71177770","23.148.3","-9.97","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Drug violations [401]","Actual incidents","Number","223","units","0","v73854415","23.231.1","1552","","","","0"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Drug violations [401]","Rate per 100,000 population","Rate","257","units","0","v73854416","23.231.2","225.69","","","","2"
"2019","Vancouver, British Columbia, municipal [59023]","59023","Total Drug violations [401]","Percentage change in rate","Percent","239","units","0","v73854417","23.231.3","-32.43","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total, all violations [0]","Actual incidents","Number","223","units","0","v71207252","33.1.1","17534","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71207253","33.1.2","6930.24","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71207254","33.1.3","20.57","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v71207294","33.4.1","2394","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v71207295","33.4.2","946.22","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v71207296","33.4.3","24.97","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total property crime violations [200]","Actual incidents","Number","223","units","0","v71208120","33.64.1","11383","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total property crime violations [200]","Rate per 100,000 population","Rate","257","units","0","v71208121","33.64.2","4499.09","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total property crime violations [200]","Percentage change in rate","Percent","239","units","0","v71208122","33.64.3","10.69","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v71209268","33.148.1","683","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Criminal Code traffic violations [900]","Rate per 100,000 population","Rate","257","units","0","v71209269","33.148.2","269.95","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Criminal Code traffic violations [900]","Percentage change in rate","Percent","239","units","0","v71209270","33.148.3","24.75","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Drug violations [401]","Actual incidents","Number","223","units","0","v73854555","33.231.1","312","","","","0"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Drug violations [401]","Rate per 100,000 population","Rate","257","units","0","v73854556","33.231.2","123.32","","","","2"
"2019","Burnaby, British Columbia, Royal Canadian Mounted Police, municipal [59703]","59703","Total Drug violations [401]","Percentage change in rate","Percent","239","units","0","v73854557","33.231.3","-49.15","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total, all violations [0]","Actual incidents","Number","223","units","0","v71210402","34.1.1","50181","","","","0"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71210403","34.1.2","8582.98","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71210404","34.1.3","3.65","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v71210444","34.4.1","8608","","","","0"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v71210445","34.4.2","1472.32","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v71210446","34.4.3","38.74","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total property crime violations [200]","Actual incidents","Number","223","units","0","v71211270","34.64.1","26435","","","","0"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total property crime violations [200]","Rate per 100,000 population","Rate","257","units","0","v71211271","34.64.2","4521.45","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total property crime violations [200]","Percentage change in rate","Percent","239","units","0","v71211272","34.64.3","-2.05","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v71212418","34.148.1","2366","","","","0"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total Criminal Code traffic violations [900]","Rate per 100,000 population","Rate","257","units","0","v71212419","34.148.2","404.68","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total Criminal Code traffic violations [900]","Percentage change in rate","Percent","239","units","0","v71212420","34.148.3","12.32","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total Drug violations [401]","Actual incidents","Number","223","units","0","v73854569","34.231.1","1890","","","","0"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total Drug violations [401]","Rate per 100,000 population","Rate","257","units","0","v73854570","34.231.2","323.27","","","","2"
"2019","Surrey, British Columbia, Royal Canadian Mounted Police, municipal [59704]","59704","Total Drug violations [401]","Percentage change in rate","Percent","239","units","0","v73854571","34.231.3","-28.54","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total, all violations [0]","Actual incidents","Number","223","units","0","v71232452","41.1.1","16890","","","","0"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v71232453","41.1.2","7956.62","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v71232454","41.1.3","18.23","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total violent Criminal Code violations [100]","Actual incidents","Number","223","units","0","v71232494","41.4.1","1877","","","","0"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total violent Criminal Code violations [100]","Rate per 100,000 population","Rate","257","units","0","v71232495","41.4.2","884.23","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total violent Criminal Code violations [100]","Percentage change in rate","Percent","239","units","0","v71232496","41.4.3","12.50","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total property crime violations [200]","Actual incidents","Number","223","units","0","v71233320","41.64.1","8000","","","","0"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total property crime violations [200]","Rate per 100,000 population","Rate","257","units","0","v71233321","41.64.2","3768.68","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total property crime violations [200]","Percentage change in rate","Percent","239","units","0","v71233322","41.64.3","-1.83","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total Criminal Code traffic violations [900]","Actual incidents","Number","223","units","0","v71234468","41.148.1","655","","","","0"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total Criminal Code traffic violations [900]","Rate per 100,000 population","Rate","257","units","0","v71234469","41.148.2","308.56","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total Criminal Code traffic violations [900]","Percentage change in rate","Percent","239","units","0","v71234470","41.148.3","10.36","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total Drug violations [401]","Actual incidents","Number","223","units","0","v73854667","41.231.1","3582","","","","0"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total Drug violations [401]","Rate per 100,000 population","Rate","257","units","0","v73854668","41.231.2","1687.43","","","","2"
"2019","Richmond, British Columbia, Royal Canadian Mounted Police, municipal [59711]","59711","Total Drug violations [401]","Percentage change in rate","Percent","239","units","0","v73854669","41.231.3","211.03","","","","2"


